	TOKEN	NER_TAG
48	São_Luiz	LOC
55	L\'_Osservatore_Romano	LOC
95	Hotel_Delmonicos	LOC
96	Park_Avenue	LOC
110	Pinacoteca_de_São_Paulo	LOC
119	Rio_de_Janeiro	LOC
163	Grande_Rio	LOC
182	Santo_André	LOC
195	Santa_Fé_do_Sul	LOC
204	Rio_De_Janeiro	LOC
212	São_José_do_Rio_Preto	LOC
214	Vale_do_Ribeira	LOC
232	Juazeiro_do_Norte	LOC
250	Rio_Piedra	LOC
264	Santa_Catarina	LOC
265	Belo_Horizonte	LOC
289	Capão_da_Canoa	LOC
337	Santa_Tereza	LOC
350	Park_Drive_North	LOC
351	Central_Park	LOC
363	Buenos_Aires	LOC
392	Taboão_da_Serra	LOC
393	Itaim_Paulista	LOC
398	Volta_Redonda	LOC
418	Rio_Grande_do_Sul	LOC
419	Minas_Gerais	LOC
420	Espírito_Santo	LOC
421	Mato_Grosso_do_Sul	LOC
425	Museu_Victor_Meirelles	LOC
430	Porto_Príncipe	LOC
488	Parque_Anhembi	LOC
498	Casa_de_Detenção	LOC
501	Catuaí_Shopping_Center	LOC
526	Recanto_da_Cachoeira	LOC
567	Barra_Mansa	LOC
570	Estado_de_São_Paulo	LOC
580	Mogi_Mirim	LOC
589	Parque_São_Carlos	LOC
590	Nova_Iguaçu	LOC
601	Santa_Cecília	LOC
604	Parque_Nacional_da_Lagoa_do_Peixe	LOC
605	Hyatt_Regency_Aruba	LOC
613	Los_Angeles	LOC
658	Casa_da_Dinda	LOC
666	Campos_do_Jordão	LOC
681	World_Trade_Center	LOC
682	Santana_de_Parnaíba	LOC
687	Champs_Elysèes	LOC
705	Santa_Maria_da_Vitória	LOC
707	Via_Dutra	LOC
708	Linha_Vermelha	LOC
710	Palácio_Bandeirantes	LOC
725	Costa_do_Marfim	LOC
741	Parque_Antarctica	LOC
851	Vila_Nova_Cachoeirinha	LOC
888	Sudeste_Asiático	LOC
890	Irlanda_do_Norte	LOC
914	Vale_do_São_Francisco	LOC
997	Rio_Preto-SP	LOC
999	Distrito_Federal	LOC
1006	Pearl_Harbour	LOC
1037	Avenida_Faria_Lima	LOC
1049	Vila_Madalena	LOC
1059	Cidade_Tiradentes	LOC
1137	Teatro_Itália	LOC
1176	West_Plaza	LOC
1179	São_Januário	LOC
1182	Nova_Zelândia	LOC
1186	Leste_Europeu	LOC
1202	Novo_México	LOC
1217	Vila_do_João	LOC
1227	Times_Square	LOC
1243	Vale_do_Piracicaba	LOC
1246	Madison_Square_Garden	LOC
1282	Serra_das_Conchas	LOC
1283	Cidade_do_México	LOC
