TOKEN	NER_TAG
A_Pantera_Cor-de-Rosa	PER
Abel_Ferrara	PER
Abram_Szajman	PER
Adolfo_Moruzzi	PER
Adriano_Herculano_da_Silva	PER
Adroaldo_Streck	PER
Adylson_Motta	PER
Al_Anad	PER
Alan_Boksic	PER
Albano_Miguel_Ferreira	PER
Alberto_Goldman	PER
Aldegy_do_Nascimento	PER
Alessandro_Tierni	PER
Alex_Trotman	PER
Alexander_Popov	PER
Alexander_Sturgis	PER
Alexandra_Brochen	PER
Alexandre_Cardoso	PER
Alexandre_Moreno	PER
Alexis_Stepanenko	PER
Alfio_Basile	PER
Alfredo_Saad	PER
Alfredo_Volpi	PER
Algirdas_Zebrauskas	PER
Ali_Abdulllah_Saleh	PER
Alma_Corsária	PER
Aloizio_Mercadante	PER
Aloysio_Campos_da_Paz	PER
Aluizio_de_Castro	PER
Amato_Neto	PER
Amauri_Mascaro_Nascimento	PER
Ana_Moser	PER
Ana_Paula_Junqueira	PER
Anders_Jarryd	PER
Anderson_Leão	PER
Anderson_Rubbo	PER
Andrade_Martins	PER
Andrew_Duncan	PER
André_Meyer	PER
André_Penner	PER
Andréa_Beltrão	PER
Andy_Garcia	PER
Anna_Lee-Feldstein	PER
Anne_Sofie_von_Otter	PER
Anthony_Quinn	PER
Antonio_Britto	PER
Antonio_Canova	PER
Antonio_Carlos_Gomes_da_Silva	PER
Antonio_Carlos_de_Moura	PER
Antonio_Delapieve	PER
Antonio_Henrique_Pedrosa_Neto	PER
Antonio_Jorge	PER
Antonio_Matarrese	PER
Antônio_Amaral_de_Sampaio	PER
Antônio_Carlos_Biscaia	PER
Arantxa_Sanchez	PER
Armando_Laganá	PER
Arnaldo_Baptista	PER
Arnaldo_Leite	PER
Arnaldo_Montenegro	PER
Arnold_Schwarzenegger	PER
Arret_Chanin	PER
Arthur_Sendas	PER
Arturo_Ripstein	PER
Ary_Chagas_de_Aguiar	PER
Aurélio_Alonso	PER
Ayrton_Senna	PER
Bayern_Leverkusen	PER
Ben_Heppner	PER
Benedito_Vieira_Pereira	PER
Beni_Veras	PER
Benito_Gama	PER
Bernard_Nussbaum	PER
Beth_Tebele	PER
Bil_T._Jones	PER
Bill_Clinton	PER
Billy_Wilder	PER
Bob_Fernandes	PER
Boris_Gorentzvaig	PER
Brendan_Fraser	PER
Brian_Fagerburg	PER
Brigadeiro_Luís_Antônio	PER
Bruce_Mendes_Campos	PER
Bruce_Willis	PER
Bruno_Bettelheim	PER
Bruno_Fanizzi	PER
Bruno_José_Daniel	PER
Bruno_Maranhão	PER
Bryant_Park	PER
Bryn_Terfei	PER
Burhanuddin_Rabbani	PER
Burle_Filho	PER
Butch_Haynes	PER
Cacá_Diegues	PER
Cacá_di_Guglielmo	PER
Caio_Gorentzvaig	PER
Caio_Martins	PER
Carlos_Alberto_Dias	PER
Carlos_Alberto_Parreira	PER
Carlos_Andrés_Pérez	PER
Carlos_EDUARDO_LINS_da_Silva	PER
Carlos_Eduardo_Lins_da_Silva	PER
Carlos_Mariani_Bittencourt	PER
Carlos_Menem	PER
Carlos_Reichenbach	PER
Castor_de_Andrade	PER
Cecilia_Bartoli	PER
Celso_Antonio_Borlina	PER
Chico_de_Miguel	PER
Chris_Columbus	PER
Christian_Fittipaldi	PER
Christoph_Heinrich_Von_Beackedorff	PER
Cid_Carvalho	PER
Ciro_Gomes	PER
Clarismino_Júnior	PER
Claude_Durand	PER
Claude_Lefort	PER
Claudia_Guimarães	PER
Claudirene_Contijo	PER
Clodomiro_Amazonas	PER
Cláudia_Morgado	PER
Costa_e_Silva	PER
Cy_Twombly	PER
Cássia_Kiss	PER
Câmara_Setorial	PER
Dalmo_Rosalen	PER
Dan_Gurney	PER
Dave_Bruce	PER
David_Byrne	PER
David_Campitti	PER
David_Postman	PER
Dawn_Upshaw	PER
Deborah_Caldas	PER
Deborah_Colker	PER
Dennis_Robertson	PER
Dias_Gomes	PER
Dick_Advocaat	PER
Diogo_Vilela	PER
Djalma_Falcão	PER
Dolores_de_Pança	PER
Dom_Isidoro_Oliveira_Preto	PER
Donald_Baechler	PER
Donna_Karan	PER
Doreste_Batista	PER
Douglas_Ivester	PER
Douglas_José_da_Silva	PER
EDNA_Dantas	PER
