TOKEN	NER_TAG
Pesquisa_Datafolha	O
Fernando_Henrique_Cardoso	PER
Confissões_de_Adolescente	O
TCF1	O
Câmera_Manchete	O
Rede_Manchete	ORG
Ronaldo_Rosas	PER
Sônia_Pompeu	PER
Ewaldo_Ruy	PER
Primeiro_Mundo	O
Free_shop	O
Lx_810	O
Ministério_da_Fazenda	ORG
Sérgio_Danese	PER
Rubens_Ricúpero	PER
Benedito_Vieira_Pereira	PER
Suzuki_Swift	O
Herbert_Berger	PER
Honda_Civic	O
Exterminador_do_Futuro_2_-_O_Julgamento_Final	O
Alexandre_Cardoso	PER
João_Havelange	PER
Antonio_Matarrese	PER
Conferência_Internacional_sobre_Transtornos_Alimentares	ORG
Harrison_Pope	PER
Escola_de_Medicina	ORG
Alfredo_Volpi	PER
Nivaldo_Silva_Costenaro	PER
Fundação_Instituto_Brasileiro_de_Geografia_e_Estatística	ORG
British_Medical_Journal	ORG
Os_Papéis_De_FLAVIO-SHIRÓ	O
Centro_de_Coordenação_de_Operações_de_Combate_ao_Crime_Organizado	ORG
Ccocco	O
Exxon_Váldez	ORG
Aibus_300	O
David_Campitti	PER
Projeto_Acqua	O
Carlos_EDUARDO_LINS_da_Silva	PER
Titã_2	O
Clementine_1	O
Organização_de_Defesa_de_Mísseis_Balísticos	PER
Luís_Eduardo_de_Assis	PER
Brasileiro_de_Fórmula_Ford	ORG
Polícia_Civil_de_Ourinhos	ORG
Jonas_Rúbio	PER
Claudirene_Contijo	PER
Celso_Antonio_Borlina	PER
Assembléia_de_Deus	ORG
São_Luiz	LOC
Organização_Internacional_do_Café	ORG
Arby\'s	ORG
Roberto_Capuano	PER
Conselho_Regional_de_Corretores_de_Imóveis	ORG
United_Collors	O
Marinko_Gagro	PER
L\'_Osservatore_Romano	LOC
Le_Figaro	ORG
Frankfurter_Allgemeine	PER
Ilmar_Galvão	PER
Moreira_Alves	PER
Sra._Oke	PER
Okehurst	O
Condenados_pelo_Vício	O
John_Fante	PER
Pergunte_ao_Pó	O
Michael_Schumacher	PER
Bernard_Nussbaum	PER
Comissão_Parlamentar_de_Inquérito	ORG
Lloyd_Bentsen	PER
Assuntos_Especiais	O
Eliezer_Baptista	PER
Robert_Johnson	PER
David_Byrne	PER
Asia_Classics	O
Luaka_Bop	PER
Tom_Zé	PER
Classics_Byrne	O
Secretaria_das_Relações_do_Trabalho	ORG
Emerson_Fittipaldi	PER
Lake_Powell	O
Jim_Greer	PER
Henry_Bogdan	PER
Secretaria_Nacional_de_Direito_Econômico	ORG
Estatuto_da_Criança_e_do_Adolescente	ORG
Márcia_Mendes	PER
Associaçãos_dos_Pais_de_Alunos	ORG
Cy_Twombly	PER
Edouard_Balladur	PER
They_Can\'t_Take_That_Away_From_Me	O
Let\'s_Call_the_Whole_Thing_Off	O
A_Foggy_Day	O
Nice_Work_if_You_Can_Get_it	O
They_All_Laughed	O
Love_Walked_In	O
Love_Is_Here_to_Stay	O
Hotel_Delmonicos	LOC
Park_Avenue	LOC
Marco_Cesar_Meira_Naslausky	PER
Peter_Luger_Steak_House	PER
Ayrton_Senna	PER
J.J._Letho	PER
Pedro_Lamy	PER
EDNA_Dantas	PER
Receita_Federal	ORG
Luiz_Henrique_Barros_de_Arruda	PER
João_Carlos_Martins	PER
Ettore_Gagliardi	PER
Lord_Hotel	ORG
Ronaldo_Graça_Couto	PER
Metavídeo/Metalivros	O
Pinacoteca_de_São_Paulo	LOC
Brasil_dos_Viajantes	O
Apresentando_Rembrandt_-_Pintor,_Gravador,_Professor	O
Alexander_Sturgis	PER
Glauco_Pereira_Chaves	PER
Nirlando_Beirão	PER
Centro_para_Direitos_Econômicos_e_Sociais	ORG
Universidade_Harvard	ORG
Agência_de_Proteção_Ambiental	ORG
Rio_de_Janeiro	LOC
Presidente_da_República	O
José_Sarney	PER
Sexta-feira,_Folha	O
Plano_Real	O
Taxa_Referencial	O
Banco_do_Brasil	ORG
Imposto_de_Renda	O
Master_System	O
Pense_Bem	O
PC_1.000	O
Telepapo	O
Tá_Na_Hora	O
Carlos_Menem	PER
Museu_Britânico	ORG
Jean-François_Champollion	PER
Academia_de_Inscrições_e_Belas_Artes	ORG
Vercoutter	O
Silvio_Berlusconi	PER
Chora_Menino	O
Departamento_de_Fotografia	ORG
Waldemar_Cordeiro	PER
Tonya_Harding	PER
