	TOKEN	NER_TAG
765	A-2	O
816	AM-10	O
90	A_Foggy_Day	O
1043	A_Interpretação_dos_Sonhos	O
219	A_Marca_da_Maldade	O
814	A_Pesca_no_Amazonas_-_Segredos,_Roteiros_e_Estórias	O
426	A_Primeira_Missa_no_Brasil	O
1104	Adventure_in_Castle	O
455	Aerospace_146	O
206	Ah_bem	O
34	Aibus_300	O
636	Akzo/Tintas_Ypiranga	O
684	All-Star_Music_Resort	O
900	Ambito_Financiero	O
887	América_Latina	O
962	An_American_Evening	O
879	Antigo_Testamento	O
112	Apresentando_Rembrandt_-_Pintor,_Gravador,_Professor	O
73	Asia_Classics	O
69	Assuntos_Especiais	O
542	Assuntos_Internacionais	O
549	Asuapi	O
868	At_the_Seashore	O
213	Atlas_Folha_/_«_The_New_York_Times_»	O
446	Austríaca_de_Turismo	O
475	BBC_Music_Magazine	O
838	Banana_Banana	O
521	Banco_Nacional	O
270	Banco_de_Leite_Humano	O
1071	Barra_Funda	O
1019	Beavis_e_Butt-Head	O
785	Beverly_Boulevard	O
702	Blitzkrieg_Bop	O
348	Boathouse_Cafe	O
1101	Body_for_Sure	O
453	Boeing_737	O
218	Bolsa_de_Mercadorias	O
224	Bonequinha_de_Luxo	O
780	Bourgueil_LÉchellerie	O
1270	Boutros_Boutros-Ghali	O
111	Brasil_dos_Viajantes	O
883	Bruto_Rosé	O
405	Bulletin_Board_Systems	O
885	Cabernet_Sauvignon	O
1149	Cachoeiro_do_Itapemirim	O
978	Campanha_Contra_a_Fome	O
278	Capitalismo_e_Escravidão_no_Brasil_Meridional	O
598	Carmelita_Aralse_Tebele	O
427	Cartilha_da_Segurança_Escolar	O
576	Casa_da_Cultura_dos_Povos	O
1236	Casa_de_Campo	O
1281	Castelo_Branco	O
514	Caupenne_d\'Armagnac	O
513	Caça_aos_Turistas	O
32	Ccocco	O
971	Central_Figure	O
646	Cerimônia_de_Casamento	O
138	Chora_Menino	O
352	Christo\'s	O
1226	Chummak	O
893	Cia._City_de_Desenvolvimento	O
371	Cia._do_Linho	O
345	Cine_West_Plaza_3	O
474	Classical_Music_Award	O
76	Classics_Byrne	O
294	Clean_Car	O
39	Clementine_1	O
1261	ColorEdge	O
615	Compaq_Aero	O
438	Concurso_Brasileiro_de_Sommeliers	O
62	Condenados_pelo_Vício	O
2	Confissões_de_Adolescente	O
1076	Conflitos_no_Campo_Brasil_1993	O
983	Constituição_Federal	O
