	TOKEN	NER_TAG
1	Fernando_Henrique_Cardoso	PER
6	Ronaldo_Rosas	PER
7	Sônia_Pompeu	PER
8	Ewaldo_Ruy	PER
13	Sérgio_Danese	PER
14	Rubens_Ricúpero	PER
15	Benedito_Vieira_Pereira	PER
17	Herbert_Berger	PER
20	Alexandre_Cardoso	PER
21	João_Havelange	PER
22	Antonio_Matarrese	PER
24	Harrison_Pope	PER
26	Alfredo_Volpi	PER
27	Nivaldo_Silva_Costenaro	PER
35	David_Campitti	PER
37	Carlos_EDUARDO_LINS_da_Silva	PER
41	Luís_Eduardo_de_Assis	PER
44	Jonas_Rúbio	PER
45	Claudirene_Contijo	PER
46	Celso_Antonio_Borlina	PER
51	Roberto_Capuano	PER
54	Marinko_Gagro	PER
57	Frankfurter_Allgemeine	PER
58	Ilmar_Galvão	PER
59	Moreira_Alves	PER
60	Sra._Oke	PER
63	John_Fante	PER
65	Michael_Schumacher	PER
66	Bernard_Nussbaum	PER
68	Lloyd_Bentsen	PER
70	Eliezer_Baptista	PER
71	Robert_Johnson	PER
72	David_Byrne	PER
74	Luaka_Bop	PER
75	Tom_Zé	PER
78	Emerson_Fittipaldi	PER
80	Jim_Greer	PER
81	Henry_Bogdan	PER
84	Márcia_Mendes	PER
86	Cy_Twombly	PER
87	Edouard_Balladur	PER
97	Marco_Cesar_Meira_Naslausky	PER
98	Peter_Luger_Steak_House	PER
99	Ayrton_Senna	PER
100	J.J._Letho	PER
101	Pedro_Lamy	PER
102	EDNA_Dantas	PER
104	Luiz_Henrique_Barros_de_Arruda	PER
105	João_Carlos_Martins	PER
106	Ettore_Gagliardi	PER
108	Ronaldo_Graça_Couto	PER
113	Alexander_Sturgis	PER
114	Glauco_Pereira_Chaves	PER
115	Nirlando_Beirão	PER
121	José_Sarney	PER
132	Carlos_Menem	PER
134	Jean-François_Champollion	PER
137	Silvio_Berlusconi	PER
140	Waldemar_Cordeiro	PER
141	Tonya_Harding	PER
142	Nancy_Kerrigan	PER
144	Jeff_Gillooly	PER
146	Marilena_Ansaldi	PER
150	Sonia_Motta	PER
152	Octavio_Paz	PER
153	Van_Himst	PER
154	Vital_Borkelmans	PER
156	Luiz_Henrique	PER
158	Luís_Carlos_Berrini	PER
159	Júlio_Neves	PER
164	Carlos_Eduardo_Lins_da_Silva	PER
165	Lawton_Chiles	PER
167	Bill_Clinton	PER
168	George_Bush	PER
169	Santiago_Bernabeu	PER
170	Itamar_Franco	PER
171	Alexis_Stepanenko	PER
173	Mariano_Gonçalves_Neto	PER
174	Ernane_Galvêas	PER
178	Marco_Antonio_Nahum	PER
180	Taras_Liskevich	PER
183	Bruno_José_Daniel	PER
184	Paulo_Cesar	PER
185	Ronald_Reagan	PER
189	Gustavo_Franco	PER
191	Regina_Casé	PER
192	Luiz_Zerbini	PER
193	Muir_Woods	PER
194	Itamar_Borges	PER
196	José_Machado_de_Campos_Filho	PER
197	Alberto_Goldman	PER
198	Aurélio_Alonso	PER
200	Burle_Filho	PER
201	Antônio_Carlos_Biscaia	PER
203	Tokyo_Journal	PER
215	Milton_Julio_Zanluqui	PER
220	Stan_Kenton	PER
221	Peter_Gunn	PER
226	A_Pantera_Cor-de-Rosa	PER
227	Dias_Gomes	PER
229	Janete_Clair	PER
230	Alfio_Basile	PER
231	Reginaldo_Duarte	PER
233	Tasso_Jereissati	PER
234	Jônice_Tristão	PER
235	Elcio_Álvares	PER
237	Levir_Culpi	PER
238	Fernando_Fortes	PER
