TOKEN	NER_TAG
Avenida_Faria_Lima	LOC
Barra_Mansa	LOC
Belo_Horizonte	LOC
Buenos_Aires	LOC
Campos_do_Jordão	LOC
Capão_da_Canoa	LOC
Casa_da_Dinda	LOC
Casa_de_Detenção	LOC
Catuaí_Shopping_Center	LOC
Central_Park	LOC
Champs_Elysèes	LOC
Cidade_Tiradentes	LOC
Cidade_do_México	LOC
Costa_do_Marfim	LOC
Distrito_Federal	LOC
Espírito_Santo	LOC
Estado_de_São_Paulo	LOC
Grande_Rio	LOC
Hospital_Mário_Gatti	LOC
Hotel_Delmonicos	LOC
Hyatt_Regency_Aruba	LOC
Irlanda_do_Norte	LOC
Itaim_Paulista	LOC
Juazeiro_do_Norte	LOC
L\'_Osservatore_Romano	LOC
Leste_Europeu	LOC
Linha_Vermelha	LOC
Los_Angeles	LOC
Madison_Square_Garden	LOC
Mato_Grosso_do_Sul	LOC
Minas_Gerais	LOC
Mogi_Mirim	LOC
Museu_Victor_Meirelles	LOC
Nova_Iguaçu	LOC
Nova_Zelândia	LOC
Novo_México	LOC
O_Estado_de_Minas	LOC
Palácio_Bandeirantes	LOC
Park_Avenue	LOC
Park_Drive_North	LOC
Parque_Anhembi	LOC
Parque_Antarctica	LOC
Parque_Nacional_da_Lagoa_do_Peixe	LOC
Parque_São_Carlos	LOC
Pearl_Harbour	LOC
Pinacoteca_de_São_Paulo	LOC
Porto_Príncipe	LOC
Recanto_da_Cachoeira	LOC
Rio_De_Janeiro	LOC
Rio_Grande_do_Sul	LOC
Rio_Piedra	LOC
Rio_Preto-SP	LOC
Rio_de_Janeiro	LOC
Santa_Catarina	LOC
Santa_Cecília	LOC
Santa_Fé_do_Sul	LOC
Santa_Maria_da_Vitória	LOC
Santa_Tereza	LOC
Santana_de_Parnaíba	LOC
Santo_André	LOC
Serra_das_Conchas	LOC
Sudeste_Asiático	LOC
São_Januário	LOC
São_José_do_Rio_Preto	LOC
São_Luiz	LOC
Taboão_da_Serra	LOC
Teatro_Itália	LOC
Times_Square	LOC
Vale_do_Piracicaba	LOC
Vale_do_Ribeira	LOC
Vale_do_São_Francisco	LOC
Via_Dutra	LOC
Vila_Madalena	LOC
Vila_Nova_Cachoeirinha	LOC
Vila_do_João	LOC
Volta_Redonda	LOC
West_Plaza	LOC
World_Trade_Center	LOC
avenida_Santo_Amaro	LOC
rua_Visconde_da_Luz	LOC
