	TOKEN	NER_TAG
5	Rede_Manchete	ORG
12	Ministério_da_Fazenda	ORG
23	Conferência_Internacional_sobre_Transtornos_Alimentares	ORG
25	Escola_de_Medicina	ORG
28	Fundação_Instituto_Brasileiro_de_Geografia_e_Estatística	ORG
29	British_Medical_Journal	ORG
31	Centro_de_Coordenação_de_Operações_de_Combate_ao_Crime_Organizado	ORG
33	Exxon_Váldez	ORG
40	Organização_de_Defesa_de_Mísseis_Balísticos	ORG
42	Brasileiro_de_Fórmula_Ford	ORG
43	Polícia_Civil_de_Ourinhos	ORG
47	Assembléia_de_Deus	ORG
49	Organização_Internacional_do_Café	ORG
50	Arby\'s	ORG
52	Conselho_Regional_de_Corretores_de_Imóveis	ORG
56	Le_Figaro	ORG
67	Comissão_Parlamentar_de_Inquérito	ORG
77	Secretaria_das_Relações_do_Trabalho	ORG
82	Secretaria_Nacional_de_Direito_Econômico	ORG
83	Estatuto_da_Criança_e_do_Adolescente	ORG
85	Associaçãos_dos_Pais_de_Alunos	ORG
103	Receita_Federal	ORG
107	Lord_Hotel	ORG
116	Centro_para_Direitos_Econômicos_e_Sociais	ORG
117	Universidade_Harvard	ORG
118	Agência_de_Proteção_Ambiental	ORG
125	Banco_do_Brasil	ORG
133	Museu_Britânico	ORG
135	Academia_de_Inscrições_e_Belas_Artes	ORG
139	Departamento_de_Fotografia	ORG
143	USA_Today	ORG
151	Sendero_Luminoso	ORG
161	Força_Sindical	ORG
162	Sindicato_dos_Metalúrgicos	ORG
166	Partido_Democrata	ORG
172	Minas_e_Energia	ORG
175	Banco_Nacional_de_Habitação	ORG
176	Ministério_do_Interior	ORG
177	Bradesco_VISA	ORG
186	Diário_da_Justiça	ORG
188	PSDB-PFL-PTB	ORG
190	Comissão_Justiça_e_Paz	ORG
205	Bloco_da_Galinha_Azul	ORG
209	Clube_das_Mulheres	ORG
210	Clube_das_Bigodudas	ORG
244	Feira_Internacional_de_Tecelagem	ORG
255	TVs_Bandeirantes	ORG
261	Nine_Inch_Nails	ORG
262	Ministério_do_Planejamento	ORG
263	Ministério_dos_Transportes	ORG
269	Divisão_de_Vigilância_Sanitária	ORG
271	Secretaria_Estadual_de_Saúde	ORG
286	Supremo_Tribunal_Federal	ORG
299	Copa_Africana_de_Nações	ORG
